steps,x,y,roll,distance_to_obj,laser
45,1.3671010732650757,1.057830810546875,-0.2537296414375305,7.967346640215972,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9372296333312988]"
46,1.374939203262329,1.0598735809326172,-0.25619107484817505,7.964691365670747,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9505414366722107]"
47,1.3827728033065796,1.0619335174560547,-0.2581305205821991,7.9620266825492125,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9502809047698975]"
48,1.390602469444275,1.0640087127685547,-0.26008015871047974,7.959354437469211,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9501051306724548]"
49,1.398427963256836,1.0660991668701172,-0.2620367109775543,7.956674641163252,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9500141143798828]"
50,1.4062494039535522,1.0682048797607422,-0.26399680972099304,7.9539872768163775,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9500080347061157]"
51,1.4140666723251343,1.0703258514404297,-0.26595714688301086,7.9512923457016775,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9637210369110107]"
52,1.4218803644180298,1.0724601745605469,-0.2673797607421875,7.948591698972468,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9634749889373779]"
53,1.429690957069397,1.074605941772461,-0.26881203055381775,7.945887199214245,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9633088111877441]"
54,1.4374985694885254,1.0767631530761719,-0.2702508270740509,7.943178834180866,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9632225632667542]"
55,1.445302963256836,1.0789308547973633,-0.27169299125671387,7.940467568452935,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9632153511047363]"
56,1.4531042575836182,1.0811100006103516,-0.2731354534626007,7.937752438537407,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9632881879806519]"
57,1.460902452468872,1.0833005905151367,-0.27457505464553833,7.935033440754491,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9770507216453552]"
58,1.4686980247497559,1.085500717163086,-0.2754749655723572,7.932312442593952,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9768792986869812]"
59,1.4764915704727173,1.08770751953125,-0.27638161182403564,7.929592257630177,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.976781964302063]"
60,1.484283208847046,1.089920997619629,-0.27729207277297974,7.926872878542707,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9767587184906006]"
61,1.4920728206634521,1.092142105102539,-0.27820342779159546,7.924153362057103,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9768105745315552]"
62,1.499860405921936,1.094369888305664,-0.2791127562522888,7.921434660242598,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9909182190895081]"
63,1.5076465606689453,1.096602439880371,-0.2794688940048218,7.918718640192113,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9907206296920776]"
64,1.5154318809509277,1.0988378524780273,-0.27983278036117554,7.916007171764866,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9905922412872314]"
65,1.5232163667678833,1.1010761260986328,-0.2802017033100128,7.913300259601363,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9905329942703247]"
66,1.531000018119812,1.1033172607421875,-0.28057295083999634,7.910597908343963,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9905430674552917]"
67,1.5387828350067139,1.1055612564086914,-0.28094378113746643,7.907900122636853,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9906222224235535]"
68,1.5465648174285889,1.1078081130981445,-0.2813115119934082,7.9052069071260265,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9907706379890442]"
69,1.554345965385437,1.1100578308105469,-0.2816734313964844,7.902518266459256,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
70,1.5621267557144165,1.112309455871582,-0.2816734313964844,7.899835131064068,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
71,1.569907546043396,1.1145610809326172,-0.2816734313964844,7.897159392167096,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
72,1.5776883363723755,1.1168127059936523,-0.2816734313964844,7.894491057289194,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
73,1.585469126701355,1.1190643310546875,-0.2816734313964844,7.891830133940558,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
74,1.5932499170303345,1.1213159561157227,-0.2816734313964844,7.889176629620644,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
75,1.601030707359314,1.1235675811767578,-0.2816734313964844,7.886530551818078,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
76,1.6088114976882935,1.125819206237793,-0.2816734313964844,7.8838919080105665,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
77,1.616592288017273,1.1280708312988281,-0.2816734313964844,7.8812607056648085,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
78,1.6243730783462524,1.1303224563598633,-0.2816734313964844,7.878636952236404,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
79,1.632153868675232,1.1325740814208984,-0.2816734313964844,7.876020655169768,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
80,1.6399346590042114,1.1348257064819336,-0.2816734313964844,7.873411821898041,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
81,1.647715449333191,1.1370773315429688,-0.2816734313964844,7.870810459842999,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
82,1.6554962396621704,1.139328956604004,-0.2816734313964844,7.868216576414963,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
83,1.66327702999115,1.141580581665039,-0.2816734313964844,7.865630179012713,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
84,1.6710578203201294,1.1438322067260742,-0.2816734313964844,7.863051275023396,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
85,1.6788386106491089,1.1460838317871094,-0.2816734313964844,7.860479871822435,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
86,1.6866194009780884,1.1483354568481445,-0.2816734313964844,7.857915976773445,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
87,1.6944001913070679,1.1505870819091797,-0.2816734313964844,7.855359597228137,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
88,1.7021809816360474,1.1528387069702148,-0.2816734313964844,7.852810740526233,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
89,1.7099617719650269,1.15509033203125,-0.2816734313964844,7.850269413995371,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
90,1.7177425622940063,1.1573419570922852,-0.2816734313964844,7.847735624951023,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
91,1.7255233526229858,1.1595935821533203,-0.2816734313964844,7.845209380696396,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
92,1.7333041429519653,1.1618452072143555,-0.2816734313964844,7.842690688522349,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
93,1.7410849332809448,1.1640968322753906,-0.2816734313964844,7.840179555707299,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
94,1.7488657236099243,1.1663484573364258,-0.2816734313964844,7.837675989517132,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
