steps,x,y,z,roll,pitch,yaw,distance_to_obj,laser
24,3.1926846887012563,3.99913166687553,0.02749744558478376,0.0036560354185109054,-0.008024963059280518,-0.013558715363230245,1.5569952430607383,"[1.         0.93436813 0.95188172 1.         1.         1.
 1.         1.         1.         1.        ]"
25,3.200886547044395,3.9989787428771995,0.02723514086114846,0.005036255668535427,-0.0064771301414164074,-0.016574869339803032,1.563384807423918,"[1.         0.93436813 0.95188172 1.         1.         1.
 1.         1.         1.         1.        ]"
26,3.209085018375688,3.9989947187686723,0.027122749003491764,-0.00032384864044943953,-0.004646569689094465,-0.019542281260550978,1.569680908565033,"[1.         0.91468731 0.96127756 1.         1.         1.
 1.         1.         1.         1.        ]"
27,3.217236077589219,3.9988112741535806,0.027404329058571375,0.0005220078958488491,-0.002591492536785761,-0.022493465517977314,1.5760845578035347,"[1.         0.91468731 0.96127756 1.         1.         1.
 1.         1.         1.         1.        ]"
28,3.225433202027542,3.9986236662492582,0.027125367244183275,0.00033447742203246005,-0.0001266324395810203,-0.02573299279918092,1.582542604300924,"[1.         0.91468731 0.96127756 1.         1.         1.
 1.         1.         1.         1.        ]"
29,3.233614593999324,3.998274632899569,0.027195908375610655,0.005415093664750233,0.0026640492299204676,-0.028899387760614202,1.589106251205567,"[1.         0.91468731 0.96127756 1.         1.         1.
 1.         1.         1.         1.        ]"
30,3.241821721666354,3.9980939223210754,0.027353943792975812,0.0031465323816144987,0.00546673545694409,-0.03221638443090815,1.5955992532250556,"[1.         0.89768897 0.95618543 1.         1.         1.
 1.         1.         1.         1.        ]"
31,3.249852921808409,3.9979179990319733,0.026957662002563536,2.662768262125618e-05,0.0022875775682052123,-0.03541726146029551,1.6019677471213647,"[1.         0.89768897 0.95618543 1.         1.         1.
 1.         1.         1.         1.        ]"
32,3.2578321598595155,3.9975537439955,0.027008524928417824,0.0025866041332115435,-0.0003125557695026462,-0.0391736196960236,1.608427877946131,"[1.         0.89768897 0.95618543 1.         1.         1.
 1.         1.         1.         1.        ]"
33,3.2658222560933625,3.9971973206913254,0.026568377035632647,0.003804908714547967,-0.002149820283722795,-0.043070503460419476,1.6149053215745952,"[1.         0.89768897 0.95618543 1.         1.         1.
 1.         1.         1.         1.        ]"
34,3.2737996712695714,3.996837423763503,0.027195902570693587,0.004423740876978305,-0.004321069807906571,-0.046836664193239654,1.6213885274319395,"[1.         0.88299142 0.95271261 1.         1.         1.
 1.         1.         1.         1.        ]"
35,3.2818011696323803,3.996473361919029,0.027293634985862104,0.0038348869859565616,-0.00634854989540173,-0.050684468869286195,1.6279066164276852,"[1.         0.88299142 0.95271261 1.         1.         1.
 1.         1.         1.         1.        ]"
36,3.289759316716915,3.9961097871893525,0.026867615997185762,0.0019029629349747077,-0.00753247437568585,-0.054949589272608484,1.6344034552200049,"[1.         0.88299142 0.95271261 1.         1.         1.
 1.         1.         1.         1.        ]"
37,3.297716825044184,3.9955782758723157,0.026893353024411187,0.005230429067488946,-0.008285733119229248,-0.05919253544448053,1.641015526405033,"[1.         0.88299142 0.95271261 1.         1.         1.
 1.         1.         1.         1.        ]"
38,3.3056866198499844,3.9951966120926423,0.027077629966215856,0.001621730789488528,-0.008997083852830979,-0.06365471469761805,1.6475580103915557,"[0.97184169 0.87029361 0.95540348 1.         1.         1.
 1.         1.         1.         1.        ]"
