steps,x,y,z,roll,pitch,yaw,distance_to_obj,lidar
0,3.0014732964861945,3.999546998257265,0.027118327168042532,-1.2376464746591586e-10,0.0007410420077216933,-1.2293744177601796e-06,2.2371323107399,"[0.99727397 0.99268508 1.         0.99452893 0.99480279 0.99827005
 0.99954149 1.         0.99678867 1.        ]"
1,3.002857253702646,3.9995470055891227,0.027173533236331204,-4.896362909958674e-07,-0.005097520052000305,-3.1280907892573877e-07,2.237752187833018,"[0.99681372 0.9966313  0.99997063 0.99368186 0.99633978 0.99955987
 0.9900516  1.         1.         1.        ]"
2,3.0053171587511067,3.9995497042147305,0.026656368214349854,-0.00011613329654835812,-0.013550331341988952,3.666224700792968e-05,2.238853272455962,"[1.         0.99151087 0.99184855 1.         1.         0.99797535
 1.         0.9940722  1.         1.        ]"
3,3.0096706463652487,3.9995549770261043,0.027202532943364232,-0.00029628972778367977,-0.028270654252213326,9.879481938741126e-05,2.240806797578196,"[0.99817071 0.9929763  1.         1.         0.99586931 0.99256206
 1.         1.         0.9936864  1.        ]"
4,3.0140971936638654,3.9995625853082863,0.027196016756988208,-0.0005436717726726668,-0.028046099442934784,0.00033341848398910084,2.242798022180195,"[1.         1.         1.         0.99002094 0.99790836 1.
 1.         0.99167565 1.         1.        ]"
5,3.0191236576036458,3.9995742333267787,0.026522949819838874,-0.0008563666034057674,-0.02274760634679788,0.0006514628212290748,2.2450648715477195,"[1.         1.         1.         1.         0.99248769 1.
 0.99891043 0.99777195 1.         1.        ]"
6,3.026013441346435,3.999587195729167,0.026858204962941407,-0.0011190995856625618,-0.023268889044061696,0.000958108045765394,2.2481892645669874,"[0.99572797 1.         1.         1.         1.         0.99721659
 1.         1.         0.99822833 1.        ]"
7,3.0339310753173137,3.999603376934699,0.026535739452889676,-0.0014080477060346513,-0.026473412206393182,0.0012772651608256855,2.251799306793986,"[0.99959954 0.99982772 0.99980691 0.99397438 1.         1.
 1.         1.         1.         1.        ]"
8,3.042287431634932,3.999622405949924,0.02722346125391646,-0.0016863631126679095,-0.03128330120397592,0.0012390311698401847,2.2556315321704727,"[0.99984053 0.99857128 0.99237458 0.99516223 0.99351474 0.99313596
 0.99776629 1.         0.99752345 1.        ]"
9,3.050775921101496,3.999639934930076,0.027260441838572264,-0.0019648371134886717,-0.031162266685520624,0.0010105598296506922,2.259550934653443,"[0.99794275 1.         1.         1.         1.         0.99228097
 0.99995345 0.99381831 0.99297529 0.99448362]"
10,3.059371977168173,3.999655846532062,0.02663199216360623,-0.002324522963226546,-0.02599193141015006,0.0007485111296588561,2.263547153986982,"[0.9902948  0.99501978 0.99022325 1.         1.         0.99966056
 0.9982273  1.         1.         0.99630512]"
11,3.067941776298534,3.9996737074792077,0.02701211088539917,-0.002719242932673235,-0.02066391789171521,0.0014910738594490667,2.2675548315561516,"[0.99495554 0.98791206 0.99984863 0.99864449 0.99785368 0.99777935
 1.         1.         1.         0.99699052]"
12,3.0765331938082,3.999688006279894,0.02668444476182376,-0.0028931267249719694,-0.014846630517395619,0.0009179606560333243,2.27160115108075,"[1.         1.         0.99012556 0.99518822 0.99588707 0.9917712
 0.99963498 1.         1.         1.        ]"
