steps,x,y,z,roll,pitch,yaw,distance_to_obj,lidar
1200,2.027233613862704,2.9995384245545704,0.026031745289629284,-0.00020452360922961163,-0.018515849014991745,-0.0007025241819951056,1.433921985811007,[1.        0.9752599]
1250,2.0316221261308494,2.9995361959083464,0.026169983741523514,-0.00023532650639042282,-0.01674579965738925,-0.000702454576740877,1.4370706435037481,[1.        0.9752599]
1300,2.0360029373423942,2.999533915976091,0.026525390135916562,-0.00026215497707342473,-0.015009007698713196,-0.0007084480140459503,1.4402202857424986,[1. 1.]
1350,2.040379249155676,2.9995315368838233,0.026244026864344138,-0.0002910372483302731,-0.013120441473799052,-0.0007029894612651661,1.4433731768893907,[1. 1.]
1400,2.0447759100482927,2.9995291069284886,0.026223424449868055,-0.000316190183776657,-0.010987653577149146,-0.0007009551986791068,1.4465471682943996,[1. 1.]
1450,2.0491746207313644,2.9995266492223744,0.026436206511497817,-0.0003378029615273896,-0.00878580358628818,-0.0007043018450799856,1.4497290472371076,[1. 1.]
1500,2.0535592010627655,2.9995241905572203,0.02685689304659629,-0.00035633258736208324,-0.006686555723480347,-0.0007129362469273619,1.4529070291743371,[1. 1.]
1550,2.057950340028174,2.9995215713765275,0.026639958062341665,-0.00037788469484324283,-0.004497134796428948,-0.0007100022490052852,1.45609615345506,[1. 1.]
1600,2.062355199859782,2.999518943494231,0.026675753667978967,-0.00039635400230347026,-0.0021354482883774845,-0.0007105130219418173,1.4593015161699852,[1. 1.]
1650,2.066755679857409,2.9995163266592746,0.026936541954949093,-0.00041188132441089643,0.00022783038846973516,-0.0007162847152654736,1.462509918301204,[1. 1.]
1700,2.0711359350452505,2.9995137428465584,0.027397354706806664,-0.0004248511286375268,0.0024246934083848363,-0.0007272251024660034,1.4657097059439042,[0.98549098 0.99406586]
1750,2.0755332242746873,2.999510947367859,0.027223643759599566,-0.00044161144198901295,0.004654652530468426,-0.0007264951597096814,1.4689282014296898,[0.98549098 0.99406586]
1800,2.079885748022887,2.9995081939551747,0.02729833656521182,-0.00045503775177579856,0.005141455768008424,-0.0007274880234423596,1.472119928112444,[0.98549098 0.99406586]
1850,2.0842275191678636,2.999505481241081,0.027597464783191996,-0.00046576716088567334,0.005559542434622648,-0.0007349983636544528,1.4753096608466785,[0.98549098 0.99406586]
1900,2.0885701498589673,2.999502577795053,0.027279032013658323,-0.0004801408124189777,0.006106444619550944,-0.0007305490107191645,1.4785060239994692,[0.9940154 1.       ]
1950,2.092893302436427,2.999499719491953,0.027229706972629827,-0.000491404103422567,0.005546286310840345,-0.0007286957845337938,1.4816938218832798,[0.9940154 1.       ]
2000,2.097213865646689,2.9994969088829153,0.027421531253518323,-0.0005000559026817873,0.0050056922453048675,-0.0007330290447908925,1.48488541722996,[0.9940154 1.       ]
2050,2.1015146513832432,2.9994941675748317,0.02782745772593095,-0.0005065412282906622,0.004306284094396183,-0.0007427221387229563,1.488068025302851,[0.9940154 1.       ]
2100,2.105830782640872,2.99947865643064,0.027542439460350645,-6.67279165976813e-05,0.003629831390889531,-0.0007391801273286399,1.4912761913119787,[0.97052274 1.        ]
2150,2.1101539632943913,2.9994767169982257,0.027605944977601313,-0.00011131698039867516,0.0030594309663576516,-0.0007414607952374462,1.4944860862674143,[0.97052274 1.        ]
2200,2.1144646597103876,2.9994746674409005,0.027896473833771203,-0.00015076666311830813,0.0024100669337824183,-0.0007489523538590666,1.4976923645515077,[0.97052274 1.        ]
2250,2.1187766448699743,2.999469381029907,0.027391896486851725,-7.713996987221461e-05,0.0018133382096029245,-0.0007449443772607186,1.5009072924745197,[0.97052274 1.        ]
2300,2.1231055354699997,2.999467428178499,0.02736044462525516,-0.0001224693050477117,0.001432766436414913,-0.0007443761891860624,1.504138115692539,[0.93618386 1.        ]
2350,2.1274299158497048,2.999465357115053,0.027566543500521967,-0.00016248669088220238,0.0010547054110943816,-0.0007493783202746325,1.5073711509664038,[0.93618386 1.        ]
2400,2.1317413353547554,2.999375860853867,0.027535864670400798,0.002958218979831421,0.0007451179543393544,-0.0007386670207927508,1.510657842793167,[0.93618386 1.        ]
2450,2.136072833411235,2.999394899963598,0.0273080675239825,0.002166679546626045,0.0005810368429631083,-0.000735968142615631,1.5138930110922273,[0.93618386 1.        ]
2500,2.140409490003377,2.999397731165838,0.027408086473229055,0.001943730034683198,0.0005090454647579388,-0.0007360201622892697,1.5171482146731197,[0.96076737 1.        ]
2550,2.144732277897314,2.9993995728101774,0.02773095074594663,0.0017405221321702264,0.0003470801384882511,-0.0007376825117800062,1.5203990275425818,[0.96076737 1.        ]
2600,2.149058605522978,2.999425673557122,0.027321813776717472,0.0006943561920712098,0.0002523189782077039,-0.0007372276744187544,1.5236419072941745,[0.96076737 1.        ]
2650,2.15340041893615,2.9994254463495587,0.027308545506124084,0.0005889536905525932,0.0003486890919124971,-0.0007366220100787549,1.5269191084713252,[0.96076737 1.        ]
2700,2.1577376292238024,2.9994247990027447,0.02753052421399819,0.0004936219941597757,0.0004363155512772955,-0.00073712226529841,1.5301984024862425,[0.92881882 1.        ]
2750,2.1620661228290645,2.999424355458315,0.027137470879191036,0.00040231127693878156,0.000708431016376769,-0.0007338125773781131,1.5334762124914043,[0.92881882 1.        ]
2800,2.166417218506031,2.999423546581665,0.027019083653448638,0.00031939958449833406,0.0012450994116662238,-0.0007325496101807849,1.536776615765141,[0.92881882 1.        ]
