steps,x,y,z,roll,pitch,yaw,distance_to_obj,lidar
0,3.0014732964861945,3.999546998257265,0.027118327168042532,-1.2376464746591586e-10,0.0007410420077216933,-1.2293744177601796e-06,2.2371323107399,"[0.99443457 0.9949571  1.         0.99557705 1.         1.
 0.99418519 1.         1.         0.99474842]"
1,3.002857453606947,3.999546847679061,0.027174611822331114,-2.3391405429641257e-08,-0.0038008819920864983,-9.497730173444831e-07,2.2377524185856195,"[0.99554252 0.99588954 0.997816   1.         1.         0.99991778
 0.99370864 1.         1.         0.99365228]"
2,3.0057249469569522,3.9995469818437965,0.027472196423462547,-3.0409381154749105e-07,-0.013298482553073818,1.1143738041760434e-06,2.2390388444111076,"[0.99949316 0.99456502 0.99163404 0.99696982 0.99158209 0.99923664
 1.         1.         1.         1.        ]"
3,3.0096334620254956,3.9995468440874498,0.02726454520628356,-1.736669923694239e-07,-0.025301406193354907,-4.6757762113555694e-05,2.2407973037832023,"[1.         1.         0.99370565 1.         0.99927417 0.99558941
 1.         1.         1.         0.99922378]"
4,3.01356861419348,3.999546835581412,0.027348026615704745,-6.1688618127864314e-06,-0.0369898248609095,-5.209317766737957e-05,2.2425731200365426,"[1.         1.         0.99550867 0.99884347 1.         0.9929027
 1.         0.99858251 1.         0.99136705]"
5,3.0177488392702108,3.999546807613634,0.0276930849309141,-1.0711761561820868e-05,-0.038844029891258666,-0.00010125876104619853,2.2444655655110117,"[1.         1.         1.         0.99584462 1.         0.99738978
 0.99871858 0.99275257 0.99999699 0.99123943]"
6,3.0220717553897263,3.999546716235276,0.02744961128621025,-2.412375143638925e-05,-0.036262253475674834,-0.00011040175773349803,2.246429169524493,"[0.99462375 1.         1.         0.99574027 0.99941644 0.99920654
 1.         0.99778848 1.         1.        ]"
7,3.026416054722552,3.999546627333001,0.027465726541414926,-3.7846155449594904e-05,-0.033277992466540895,-0.00011117396266027411,2.2484091294973383,"[0.99043631 1.         1.         0.9990202  0.99300967 1.
 0.99045551 1.         0.99661182 0.99267503]"
8,3.030750688752769,3.999546505556666,0.02771290111010992,-5.0100006437811626e-05,-0.030363905013471845,-0.00012115459193320399,2.2503913361446393,"[0.99423175 0.99568758 1.         0.99136795 0.99669438 0.99264788
 0.99064234 0.99439487 0.99431939 0.99216819]"
9,3.035104541114592,3.9995453955237887,0.027334897033765928,-2.7601262909187522e-05,-0.026586002860218384,-0.00011050935104317986,2.252389849827539,"[0.99345142 1.         0.99671962 0.9954926  1.         1.
 1.         0.99529423 1.         1.        ]"
