steps,x,y,roll,distance_to_obj,lidar
0,1.008381962776184,1.0000038146972656,-0.0009974450804293156,8.06121859873592,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8986368179321289, 0.8500455021858215]"
1,1.0167590379714966,1.000016212463379,-0.002024700865149498,8.060180109045922,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8959652185440063, 0.8501818180084229]"
2,1.0251314640045166,1.0000371932983398,-0.0030798963271081448,8.059142235441925,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8933737277984619, 0.8504012823104858]"
3,1.0334995985031128,1.0000677108764648,-0.004161239136010408,8.058103974053386,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9070767760276794, 0.8502282500267029]"
4,1.0418922901153564,1.0001068115234375,-0.0050936294719576836,8.057062827778749,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9042193293571472, 0.8501458764076233]"
5,1.0502794981002808,1.0001535415649414,-0.006058668252080679,8.056023360831608,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9014399647712708, 0.8501539826393127]"
6,1.0586615800857544,1.000208854675293,-0.00705449003726244,8.054984567931973,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8987401127815247, 0.8502533435821533]"
7,1.067038893699646,1.0002717971801758,-0.008079217746853828,8.053947339339889,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8961192965507507, 0.8509107828140259]"
8,1.0754121541976929,1.0003442764282227,-0.009127895347774029,8.052909684100527,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.910188615322113, 0.8507000803947449]"
9,1.0838109254837036,1.0004243850708008,-0.010021640919148922,8.051870120613776,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9073024988174438, 0.8505788445472717]"
10,1.0922040939331055,1.0005121231079102,-0.010949023999273777,8.050832236459492,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9044942259788513, 0.8505482077598572]"
11,1.1005918979644775,1.0006084442138672,-0.011908204294741154,8.049795040669647,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9017652273178101, 0.8506090044975281]"
12,1.1089746952056885,1.0007123947143555,-0.012897316366434097,8.048759425269234,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8991150856018066, 0.8507601022720337]"
13,1.1173527240753174,1.0008249282836914,-0.013914523646235466,8.047724401448205,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8965451717376709, 0.8514514565467834]"
