steps,x,y,roll,distance_to_obj,lidar
0,1.0085464715957642,1.0,-6.988441327848705e-07,8.06120214974077,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8985798358917236, 0.8500432968139648]"
1,1.0170929431915283,1.0,-1.5639454886695603e-06,8.060155475071426,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8958442807197571, 0.850172221660614]"
2,1.0256394147872925,1.0,-2.603757820907049e-06,8.059117727767479,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.893182098865509, 0.8503493666648865]"
3,1.0341858863830566,1.0,-3.835189090750646e-06,8.058088911278013,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9067740440368652, 0.8501474857330322]"
4,1.0427323579788208,1.0,-4.263512892066501e-06,8.05706902902419,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9038329720497131, 0.8500314354896545]"
5,1.051278829574585,1.0,-4.8355504986830056e-06,8.05605808439918,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9009633660316467, 0.850001335144043]"
6,1.0598253011703491,1.0,-5.5597561186004896e-06,8.055056080768118,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8981659412384033, 0.8500571846961975]"
7,1.0683717727661133,1.0,-6.4502187342441175e-06,8.054063021468044,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8954412937164307, 0.8501989245414734]"
8,1.0769182443618774,1.0,-7.518210622947663e-06,8.053078909807848,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8927901387214661, 0.850313663482666]"
9,1.0854647159576416,1.0,-8.783456905803178e-06,8.052103749068218,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9063294529914856, 0.8501246571540833]"
10,1.0940111875534058,1.0,-9.234324352291878e-06,8.05113754250158,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9033989906311035, 0.850021481513977]"
11,1.10255765914917,1.0,-9.826087989495136e-06,8.050180293332058,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9005401730537415, 0.8500041961669922]"
12,1.111104130744934,1.0,-1.0572836799838115e-05,8.049232004755405,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8977535367012024, 0.8500729203224182]"
13,1.1196506023406982,1.0,-1.148866067524068e-05,8.048292679938964,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8950398564338684, 0.8502274751663208]"
14,1.1281970739364624,1.0,-1.2584831893036608e-05,8.047362322021604,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.892399787902832, 0.8502799272537231]"
15,1.1367435455322266,1.0,-1.3881075574317947e-05,8.046440934113683,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9058864712715149, 0.8501037359237671]"
16,1.1452900171279907,1.0,-1.4351668141898699e-05,8.045528519296981,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9029666781425476, 0.8500134348869324]"
17,1.1538364887237549,1.0,-1.49659745147801e-05,8.044625080624662,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9001185894012451, 0.850009024143219]"
18,1.162382960319519,1.0,-1.573808549437672e-05,8.043730621121215,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8973428606987, 0.8500905632972717]"
19,1.1709294319152832,1.0,-1.6679270629538223e-05,8.042845143782412,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8946401476860046, 0.8502579927444458]"
20,1.1794759035110474,1.0,-1.780362072167918e-05,8.041968651575248,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8920111656188965, 0.8502480983734131]"
21,1.1880223751068115,1.0,-1.9133678506477736e-05,8.041101147437905,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9054449796676636, 0.8500847816467285]"
22,1.1965688467025757,1.0,-1.9626813809736632e-05,8.040242634279691,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9025359153747559, 0.8500072956085205]"
23,1.2051153182983398,1.0,-2.026366382779088e-05,8.039393114981003,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8996986150741577, 0.8500157594680786]"
24,1.213661789894104,1.0,-2.1061136067146435e-05,8.03855259239327,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8969337940216064, 0.8501101136207581]"
25,1.2222082614898682,1.0,-2.2030500986147672e-05,8.03772106933891,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8942420482635498, 0.8502904772758484]"
26,1.2307547330856323,1.0,-2.3183030862128362e-05,8.036898548611283,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8916241526603699, 0.8502182364463806]"
27,1.2393012046813965,1.0,-2.4544086045352742e-05,8.036085032974649,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.905005156993866, 0.850067675113678]"
28,1.2478476762771606,1.0,-2.5059765903279185e-05,8.035280525164113,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.902106761932373, 0.8500031232833862]"
29,1.2563941478729248,1.0,-2.572197627159767e-05,8.034485027885585,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8992802500724792, 0.850024402141571]"
