steps,x,y,z,roll,pitch,yaw,distance_to_obj,lidar
18,1.1166123960771794,1.0034953492301069,0.027235704354662608,-0.001129905123348058,0.0027852493548067656,0.08833099020172903,7.997354880252807,"[0.99494197 1.         0.99754798 1.         1.         1.
 0.99909227 0.9995293  0.93974285 0.85824109]"
19,1.1244135810535503,1.004224784368054,0.02683412140106897,-0.0016806555742492797,0.006244772858470696,0.0948215804873811,7.99674308941238,"[0.99085634 0.99078383 1.         1.         0.99035264 0.99458799
 1.         1.         0.94179777 0.8512211 ]"
20,1.1322000558033152,1.0049562264352767,0.027497256162458388,-0.001483500750474004,0.00920150068233308,0.10129387890790437,7.996136679420284,"[0.99252902 1.         1.         0.99302894 0.99209566 0.99540028
 0.9959951  0.99242045 0.95183073 0.85869194]"
21,1.1399964912122205,1.005698985400824,0.02766246159259872,0.0005896343691066284,0.010200272956055354,0.10752048311474152,7.995526732465669,"[0.99733507 1.         1.         0.99060103 1.         1.
 1.         1.         0.94109796 0.86772492]"
22,1.1475849530297284,1.006419106407846,0.027455824520948458,0.0042693818034819,0.008327340319937846,0.11367116595738014,7.9949432030979635,"[1.         1.         0.99826975 0.99241195 0.99544167 1.
 0.99044855 1.         0.94667675 0.86239799]"
23,1.1551748442007974,1.0073389736456708,0.027525583793996382,0.0024835254450447557,0.006562090982479189,0.11947985190380186,7.99416721832088,"[0.99837343 0.99767436 0.9932485  1.         0.99523935 0.99303839
 0.99361696 1.         0.95531343 0.86384866]"
24,1.1627206476544834,1.0082459830991841,0.027268353148857248,0.003032233040835162,0.004501796052571218,0.12561519022372544,7.993410428335544,"[0.99826868 0.99887064 0.99123732 0.99993641 1.         1.
 0.99217623 1.         0.95189321 0.86778921]"
25,1.1702798880855585,1.0093047125614956,0.027416524147460753,-0.00065087416134974,0.002566467603782312,0.1312096366800235,7.99250939423773,"[1.         0.99661318 1.         0.99701399 0.99275978 0.9921249
 1.         1.         0.97130091 0.86555356]"
26,1.1779844028877915,1.010387117082881,0.02720600695525058,-0.0023861247706626213,0.0007449385643636542,0.1369507742123736,7.991595114027395,"[0.99725959 0.99621218 0.998308   0.99098354 1.         1.
 1.         1.         0.96906791 0.86439283]"
27,1.1857673766370704,1.0113143020134692,0.027185063752639245,0.002855285688834148,-0.0010829520325367217,0.14235908338038383,7.990845305688077,"[1.         1.         0.99231029 1.         1.         0.99770995
 0.99022688 1.         0.98190009 0.86416014]"
28,1.1934636974095143,1.0124103574773888,0.02761377592677413,0.003036980856194658,-0.0028329678218551963,0.14731014738683942,7.989932196179756,"[0.99577487 1.         1.         1.         0.99097365 0.99407442
 1.         1.         0.98014534 0.87308146]"
29,1.2011314582630577,1.0135297316788658,0.02748006607635813,0.003937397396955744,-0.0042072628200767875,0.15256811335301024,7.989002516602462,"[1.         1.         1.         1.         1.         0.99684006
 1.         1.         0.98338442 0.86660956]"
30,1.2088461208117036,1.0148208216646255,0.027696365716763538,0.0002971192900478016,-0.005833190741660072,0.15694880742160666,7.987909814982823,"[1.         1.         1.         0.99824011 0.99596957 0.99990258
 1.         1.         0.98453622 0.87985273]"
31,1.2165279089725005,1.0160876859705563,0.027545375919785897,-0.0011115643774000776,-0.006836489562118788,0.1619437663365118,7.986847949815684,"[0.99911383 1.         0.99431507 1.         0.99423196 1.
 0.99824629 1.         0.99293571 0.87903266]"
