steps,x,y,z,roll,pitch,yaw,distance_to_obj,lidar
0,1.0014732981570889,0.9995469982571202,0.02711812652340964,-1.2381230764366569e-10,0.00074110301349676,-1.2294756208779443e-06,8.000453137398164,"[0.99173024 1.         1.         1.         0.99711678 0.99249738
 1.         1.         0.90833784 0.85190313]"
1,1.0028575654390455,0.9995468476466649,0.027174427312694576,-2.339231575173555e-08,-0.003801127942810467,-9.498849197766809e-07,8.000453662679426,"[0.99071783 0.99347725 1.         1.         0.99808053 1.
 1.         0.99897547 0.90700662 0.85375454]"
2,1.005725272604741,0.9995469817994208,0.027472017443329996,-3.0411959769754033e-07,-0.013299330108480858,1.1143588624037575e-06,8.000455066755963,"[0.99683586 1.         1.         1.         0.99977406 0.9925519
 0.99686661 1.         0.90845678 0.84813539]"
3,1.009633948490312,0.9995468440466908,0.027264331163218244,-1.7375396198144718e-07,-0.025302539962157772,-4.675293019648461e-05,8.00045895643286,"[1.         0.99336941 1.         0.99699794 1.         1.
 1.         1.         0.90437938 0.85667135]"
4,1.0135692683608555,0.9995468355452728,0.027347773077649438,-6.168715474396147e-06,-0.0369910783939855,-5.208667280241918e-05,8.000464671609862,"[1.         0.99327329 1.         1.         0.99367039 0.9910353
 1.         1.         0.90972243 0.84843056]"
5,1.017749686156507,0.9995468075496496,0.027692784326132522,-1.071121910512614e-05,-0.03884466878335396,-0.00010125324149295351,8.000472882020642,"[0.9960376  1.         1.         1.         0.99454911 0.99019279
 1.         0.99038468 0.91036607 0.84487341]"
6,1.0220727962192917,0.9995467161888678,0.02744920509515464,-2.412353732203335e-05,-0.03626185004289624,-0.00011039220915161439,8.000483732548757,"[0.99163479 0.99207321 1.         1.         1.         0.9989641
 0.99151082 0.99388931 0.91120584 0.84848644]"
7,1.0264173047446397,0.9995466273056796,0.027465209012533496,-3.78458297291593e-05,-0.03327622174878679,-0.00011115960742702906,8.0004969872281,"[0.99177268 0.99708629 0.99515775 1.         1.         0.9940443
 0.99460467 1.         0.89975691 0.84379052]"
8,1.0307521666553463,0.9995465055337992,0.027712269175179417,-5.009920567156085e-05,-0.03036042978579939,-0.00012113476707370881,8.00051259688218,"[0.99050621 1.         0.99059459 0.99298568 1.         1.
 0.99882526 1.         0.89748615 0.85343978]"
9,1.0351062369863393,0.9995454106162344,0.02733447985516795,-2.8142296737525847e-05,-0.026580208322714002,-0.00011046627395937295,8.000531612628444,"[1.         1.         1.         0.99236111 0.99696927 0.99457834
 0.9911104  1.         0.91348868 0.8517426 ]"
10,1.0394903669278555,0.9995453284028578,0.027230334850410192,-4.203906150869184e-05,-0.02212996175318651,-0.00010707780909817642,8.000552133531825,"[1.         1.         1.         0.99221952 1.         1.
 1.         0.99867167 0.90182484 0.84930874]"
11,1.0438783384063943,0.9995452012872043,0.027365555938983006,-5.400580469415148e-05,-0.017490914122556003,-0.00011285364611010269,8.000575122753858,"[0.99342038 1.         0.99409538 0.99058382 0.99697693 1.
 0.9969246  1.         0.90510076 0.84503797]"
12,1.0482458705204138,0.9995450577937701,0.02771400994420962,-6.519908346941097e-05,-0.013136360505312743,-0.00012716886979682824,8.000600411612515,"[0.99596402 1.         1.         1.         0.99924552 1.
 1.         1.         0.9035812  0.85801496]"
13,1.0526403210434916,0.9995448876265632,0.027431208484580232,-7.872127216572584e-05,-0.008113841797584608,-0.00012114889317938516,8.000628288359723,"[0.99400316 0.99004984 1.         1.         0.99090082 1.
 1.         1.         0.89676255 0.85772553]"
14,1.0570541261788238,0.9995446752775372,0.027403608938417104,-9.001788811993719e-05,-0.002620561410065518,-0.00012143729016495373,8.000658758889422,"[1.         0.99108219 1.         1.         0.99449536 1.
 0.9955803  0.9983122  0.89724504 0.84339576]"
15,1.0614627591373056,0.9995444426302994,0.027604528375203403,-9.991537422861853e-05,0.0028726325665568973,-0.00013085269368521833,8.000691644864743,"[0.99366425 1.         0.9926836  0.99890263 1.         0.9907762
 1.         0.99640981 0.90680174 0.85149938]"
16,1.0658410362686455,0.9995442136715209,0.028007881587713074,-0.00010946741400836207,0.007906703834480423,-0.00014859169711140723,8.00072670643447,"[0.99643727 0.99990688 0.99661587 1.         1.         1.
 1.         1.         0.91224411 0.85018605]"
