steps,x,y,z,roll,pitch,yaw,distance_to_obj,laser
0,1.0042158613794447,0.9995468476300278,0.027134925524437952,1.334703344225248e-07,-0.010679799640462602,3.0883893858422843e-06,8.062185602799957,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90455111 0.85      ]"
1,1.0080941585453207,0.9995360520457743,0.026717303995774738,0.0004243321900888839,-0.023843569162335234,-0.00012576623130015305,8.061718215171455,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90455111 0.85      ]"
2,1.0125655463765162,0.9996372304513297,0.026749672814382827,-0.0036372005828361055,-0.02395768443940035,0.0013041924060006823,8.061068864895226,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90447359 0.84996606]"
3,1.018355605286565,0.999568429154616,0.02703805021063775,-0.0005623943419885639,-0.026059768119246134,0.0005669431578902484,8.06042995363472,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90447359 0.84996606]"
4,1.024913127969101,0.999440371268859,0.02688581781539005,0.004220691028143611,-0.02481388222203733,-0.0006633573588986651,8.059761087084999,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90447359 0.84996606]"
5,1.0323189523549,0.9994375585553026,0.027209403224574196,0.004221450996908692,-0.026298338279135903,0.0043944530485861,8.058871260258911,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90447359 0.84996606]"
6,1.0398904771992934,0.9994254317402654,0.027129685844583334,0.006111201524886294,-0.025692325472390042,0.01031856542353157,8.057977644425247,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90563829 0.8496609 ]"
7,1.0475132203163031,0.9995784601241563,0.0273851681910371,0.0033686837235148565,-0.02515756363423474,0.01670523078088306,8.056920992611357,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90563829 0.8496609 ]"
8,1.0551556506458566,0.9997377007194302,0.027250923773085245,0.0028342005262197182,-0.024193690622850084,0.023135637067695582,8.055862939610908,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90563829 0.8496609 ]"
9,1.062802188683526,0.9998980616497847,0.026723855895394485,0.004245465999259354,-0.0223598791890911,0.02944338475112021,8.054810411271719,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90563829 0.8496609 ]"
10,1.0704737542596938,1.0002201398344817,0.026583251828730274,0.0010934618796452154,-0.019889976638300493,0.03588986023462939,8.053601483350782,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.91479784 0.85041608]"
