steps,x,y,roll,distance_to_obj,lidar,,,
0,1.00421608872019,0.99954684758677,0.027134726084967,1.33494134657077E-07,-0.01068056768482,3.0885849358148E-06,8.00045426331298,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90455111 0.85      ]"
1,1.00807035150024,0.999546832057391,0.026667734096706,-1.33151358405965E-08,-0.024044141043502,7.09407076150685E-06,8.00045723837183,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90455195 0.84999984]"
2,1.01297739897043,0.999546915165929,0.027271819617006,-6.72161621465315E-07,-0.028490400562429,0.000140343488098,8.0004636100363,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90455325 0.84999982]"
3,1.01847288485155,0.999548372001778,0.027222279843291,-9.84151867824056E-07,-0.027963134326221,0.000342045723174,8.000472954733,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90459681 0.84999954]"
4,1.02455824722347,0.999552235598995,0.026493007270896,-5.56492000491493E-07,-0.02225966704577,0.000609475531961,8.00048545642174,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90466417 0.85000045]"
5,1.03250830276424,0.999557678015288,0.026777007377534,-8.05962630669313E-07,-0.02230467760318,0.000878814965488,8.00050836741971,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.9047558  0.85000379]"
6,1.04098512881099,0.999565115313808,0.026390087998579,-9.93288471697758E-07,-0.023375506100264,0.000863001510344,8.0005398645896,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90484972 0.8500087 ]"
7,1.04945472538194,0.999572584477631,0.027009014097419,-5.29017199100318E-06,-0.024696294787186,0.00085200138637,8.00058026651221,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90485241 0.85001612]"
8,1.05799008988432,0.999580067969868,0.026945305302004,-1.21548566994102E-05,-0.024204223173619,0.000847747280715,8.00063009639552,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90485694 0.85002379]"
9,1.06663165586438,0.999587608291108,0.026201985493556,-1.99703891131943E-05,-0.018528000017614,0.000844046114836,8.00068985869171,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90486394 0.85003168]"
10,1.07531533653048,0.999595197663689,0.026471445283941,-2.8368673200361E-05,-0.012711152750099,0.000838580384414,8.00075930153899,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90487153 0.85003993]"
11,1.08400201904859,0.999602776886567,0.025999999699272,-3.77699166024365E-05,-0.00621907509056,0.000845615106619,8.00083821026306,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90487863 0.85004826]"
12,1.09269276553945,0.999610352691619,0.026505471281621,-4.43946216160498E-05,0.000182025501661,0.000836018448413,8.00092659993469,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90488989 0.85005665]"
13,1.10115519639238,0.999617682770195,0.026275343116334,-5.28467503714075E-05,-0.001791856069018,0.000838072895543,8.00102178447231,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90489552 0.8500649 ]"
14,1.10958306307699,0.999625024053193,0.027037892667096,-5.97165937420124E-05,-0.004169845962824,0.000822664390146,8.00112543355428,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90490439 0.8500726 ]"
15,1.1180436075852,0.999632302895555,0.027126326906745,-7.02053709084481E-05,-0.006427944645843,0.000819878710419,8.00123850301714,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90490743 0.85008023]"
