steps,x,y,roll,distance_to_obj,lidar,,,
0,1.00421608872019,0.99954684758677,0.027134726084967,1.33494134657077E-07,-0.01068056768482,3.0885849358148E-06,8.00045426331298,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90455111 0.85      ]"
1,1.00807035150024,0.999546832057391,0.026667734096704,-1.33151203424974E-08,-0.024044141043508,7.09407075665928E-06,8.00045723837183,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90455195 0.84999984]"
2,1.0129773989705,0.999546915165938,0.027271819617042,-6.72161875562666E-07,-0.028490400562725,0.000140343488501,8.00046361003629,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90455325 0.84999982]"
3,1.01847288485162,0.999548372001791,0.027222279843294,-9.84152063727564E-07,-0.027963134326131,0.000342045723941,8.00047295473298,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90459681 0.84999954]"
4,1.02455824722352,0.999552235599014,0.026493007270845,-5.56492086918333E-07,-0.022259667045345,0.000609475533164,8.00048545642172,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90466417 0.85000045]"
5,1.03250830276441,0.99955767801531,0.026777007377456,-8.05962530568662E-07,-0.022304677602796,0.000878814968074,8.00050836741968,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.9047558  0.85000379]"
6,1.0409851288112,0.999565115313845,0.026390087998456,-9.93288042120926E-07,-0.023375506099632,0.000863001513176,8.00053986458957,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90484972 0.8500087 ]"
7,1.04945472538219,0.99957258447768,0.027009014097246,-5.29017121098738E-06,-0.024696294786233,0.000852001389465,8.00058026651216,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90485241 0.85001612]"
8,1.05799008988462,0.999580067969933,0.026945305301773,-1.21548555210185E-05,-0.024204223172373,0.000847747284036,8.00063009639546,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90485694 0.85002379]"
9,1.06663165586472,0.99958760829119,0.026201985493255,-1.99703874352869E-05,-0.018528000015778,0.000844046118349,8.00068985869163,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90486394 0.85003168]"
10,1.07531533653087,0.999595197663794,0.026471445283566,-2.83686711405696E-05,-0.012711152747569,0.000838580388154,8.00075930153889,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90487153 0.85003993]"
11,1.08400201904903,0.999602776886692,0.025999999698806,-3.77699140306205E-05,-0.006219075087233,0.000845615110563,8.00083821026294,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90487863 0.85004826]"
12,1.09269276553996,0.999610352691746,0.026505471281058,-4.43946183023928E-05,0.000182025505922,0.00083601845277,8.00092659993457,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90488989 0.85005665]"
13,1.10115519639287,0.999617682770343,0.026275343115681,-5.28467464889201E-05,-0.001791856066438,0.000838072900127,8.00102178447217,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90489552 0.8500649 ]"
14,1.10958306307748,0.999625024053356,0.027037892666365,-5.97165893444436E-05,-0.004169845961785,0.000822664395043,8.00112543355413,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90490439 0.8500726 ]"
15,1.11804360758569,0.999632302895744,0.027126326905941,-7.02053659438883E-05,-0.006427944646208,0.000819878715557,8.00123850301696,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90490743 0.85008023]"
16,1.12650622912423,0.99963955418424,0.026574505496285,-8.10062011377116E-05,-0.007917312832073,0.000828829691627,8.00136057736311,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90491477 0.85008799]"
