steps,x,y,roll,distance_to_obj,lidar,,,
58,1.48317431481619,1.00000861472854,0.027671909057969,0.000278669847207,-0.034514062446053,0.001135551312452,8.01456920756915,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90539117 0.85043799]"
59,1.49182137688975,1.00001733946843,0.026929001590592,0.000333316577134,-0.0284521718663,0.00115898156673,8.0150864521583,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90539653 0.85044301]"
60,1.50051034935202,1.00002594829902,0.027197627176115,0.000387934498253,-0.02232748330207,0.001169645586171,8.01561572417849,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90541077 0.85044906]"
61,1.50920753696874,1.00003488597253,0.026725840868426,0.000442639982077,-0.015583401100428,0.001166793730531,8.01615457319545,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90542071 0.85045505]"
62,1.51790098624245,1.00004361530727,0.027228638840678,0.000490228270676,-0.008977314105853,0.00118310189308,8.01670278783846,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90542661 0.85046142]"
63,1.52661546122779,1.0000527787445,0.026972004481114,0.000539113409499,-0.001981360526418,0.00118608485645,8.01726133956464,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90543897 0.85046795]"
64,1.53529570476643,1.00006158655519,0.027663864599668,0.000581548273258,0.004640007575445,0.001207918574443,8.01782739340598,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90544735 0.85047489]"
65,1.54400744926658,1.00007092651589,0.027587497787202,0.000626379972522,0.011436362040118,0.001216010320556,8.01840441020742,"[1.        1.        1.        1.        1.        1.        1.
 1.        0.9054619 0.8504818]"
66,1.55231724445696,1.00008411040614,0.02682277369878,0.000531669586475,0.005069051635302,0.0012134980394,8.01895932020489,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90547236 0.85048913]"
67,1.56065895799659,1.00009280750679,0.027148619868592,0.000578905311132,-0.001290132046897,0.001221383934097,8.01952950962127,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90549066 0.85050708]"
68,1.56901343293262,1.00010189703843,0.026864347138052,0.000626946073248,-0.007124687591933,0.001215825284571,8.02010884867692,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90548416 0.85051276]"
69,1.57733286888944,1.00011052429588,0.027592748966092,0.000667471265273,-0.013377938148461,0.001231666489769,8.02069478692349,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90546384 0.85051884]"
70,1.58568448416255,1.00011966915711,0.027689359377616,0.000710656987153,-0.019532869140632,0.001233739447174,8.02129114437293,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.9054506  0.85052482]"
71,1.59404175972591,1.00013211756329,0.027173230456009,0.000650510691618,-0.024974202889009,0.00122499287409,8.02189327707248,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90543318 0.85053119]"
72,1.60239096990921,1.00014095406006,0.027711057674723,0.000695041280548,-0.030627978378342,0.001236711694565,8.02250706671769,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90542168 0.85054657]"
73,1.61092757345783,1.00015047518536,0.027609675186526,0.0007445773183,-0.029802414322943,0.00125699668022,8.02314308233925,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90540697 0.85055257]"
74,1.61957987547711,1.00016117562629,0.026826555587814,0.000780114014879,-0.023776233322556,0.001260243458261,8.02379588711311,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90539416 0.85055941]"
75,1.62827171067152,1.00017078623912,0.027057645178391,0.000831572873127,-0.017612783920898,0.001273191062877,8.0244621496878,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90537695 0.85056858]"
76,1.63696858701306,1.00018099487261,0.026547909640422,0.000883885618977,-0.010784610957263,0.001270856748538,8.02513757487302,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90536071 0.85057579]"
77,1.64566745310387,1.00019059909616,0.027018050645481,0.0009283052372,-0.004048368919926,0.001291280908693,8.02582312979716,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90534002 0.85058362]"
78,1.65438415390389,1.00020092609757,0.026730111333524,0.000975058653367,0.003122093120529,0.001295693570881,8.02651878735051,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.9053266  0.85059126]"
79,1.66301901816852,1.0002104952729,0.027393033304937,0.001013259152265,0.00800204205285,0.00132001594588,8.02721784545524,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90530853 0.85059955]"
80,1.67151895401707,1.00022071680034,0.027318655216118,0.001052491753653,0.007166559057528,0.001325979614713,8.02791419271,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90529715 0.85060739]"
81,1.67985255350576,1.00023140025952,0.026621201530381,0.001091297853284,0.001500928755978,0.001312430732425,8.02860493136274,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90528134 0.85061542]"
82,1.68821241923769,1.00024122517584,0.026983921129764,0.001123328082896,-0.004169451665766,0.001318488124272,8.02930736672654,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90526064 0.85062359]"
83,1.69658556203213,1.00025170675744,0.026728266083691,0.001158077006082,-0.009333189341273,0.001309787659721,8.03001894147634,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90524575 0.85063127]"
84,1.70492269258733,1.00026118062349,0.027481879864325,0.001185266108989,-0.014931610033283,0.001326046589099,8.0307370259998,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90522651 0.8506395 ]"
85,1.71329143726751,1.00027146954304,0.027594728550385,0.001217035612291,-0.020438032393256,0.001326408097663,8.03146569658903,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90521494 0.85064709]"
86,1.72166761353553,1.00028244802743,0.027101450397184,0.001251057939967,-0.025236535035659,0.001311890835823,8.03220300140404,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.9051987  0.85065526]"
87,1.73003556652501,1.00029237297148,0.027639686333393,0.00127732560116,-0.030237342348922,0.001323165537084,8.03294927447757,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90517815 0.85066408]"
88,1.73857443589469,1.0003033108854,0.027532458137654,0.001311001688713,-0.029354949696675,0.001341908980667,8.03371889694855,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90516537 0.8506722 ]"
89,1.74722622213511,1.00031525064188,0.026746656221086,0.001349766805578,-0.023297466816664,0.001345269173503,8.03450702384155,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90515449 0.85068135]"
90,1.75592003716058,1.00032607265938,0.026975430184937,0.001386123522049,-0.017097704883668,0.001362668605981,8.03530945554396,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90513851 0.85069162]"
91,1.7646168911718,1.00033780745907,0.026462472792785,0.001425304135484,-0.010220071840098,0.001362216032532,8.03612059298727,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90512593 0.85070091]"
92,1.77331845705027,1.00034841564277,0.026927885619182,0.00145679456672,-0.003426067423367,0.001387799506125,8.0369426343059,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.9051083  0.85071104]"
